Path,Sample Name,Tissue Category,Cell ID,Total Cells,Tissue Category Area (pixels),Cell Density (per megapixel),Cell X Position,Cell Y Position,"Nucleus DAPI Mean (Normalized Counts, Total Weighting)","Nucleus MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Nucleus CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Nucleus BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Nucleus STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Nucleus BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)","Cytoplasm DAPI Mean (Normalized Counts, Total Weighting)","Cytoplasm MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Cytoplasm STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Cytoplasm Autofluorescence Mean (Normalized Counts, Total Weighting)","Membrane DAPI Mean (Normalized Counts, Total Weighting)","Membrane MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Membrane CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Membrane CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Membrane BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Membrane STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Membrane BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Membrane Autofluorescence Mean (Normalized Counts, Total Weighting)","Entire Cell DAPI Mean (Normalized Counts, Total Weighting)","Entire Cell MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Entire Cell CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Entire Cell CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Entire Cell STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Entire Cell Autofluorescence Mean (Normalized Counts, Total Weighting)"
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,160,,,,1571,155,12.026,3.013,0.02,21.033,74.741,10.61,4.358,20.087,3.33,3.228,0.08,11.788,28.196,8.324,3.67,14.609,1.124,3.074,0.117,10.084,17.012,7.238,3.613,12.357,7.785,3.071,0.054,16.669,52.18,9.38,4.049,17.22
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,167,,,,1601,159,20.432,5.22,0.078,16.529,55.556,8.62,4.615,15.237,6.954,4.688,0.159,12.648,36.075,8.85,3.563,16.775,2.443,4.105,0.041,10.682,27.048,8.257,3.412,15.34,13.123,4.832,0.086,14.262,44.378,8.581,4.094,15.594
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,176,,,,1574,170,20.864,3.108,0.409,8.219,18.021,8.545,3.122,9.373,6.454,3.014,0.34,8.216,22.81,8.474,3.081,13.297,2.416,2.71,0.255,8.407,19.258,8.273,2.997,12.273,13.423,2.994,0.358,8.263,19.346,8.465,3.084,10.901
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,178,,,,1436,172,35.361,2.499,1.027,17.124,20.67,5.435,6.126,10.167,12.136,1.673,0.723,10.111,11.351,3.798,4.055,10.508,4.7,1.233,0.629,8.341,9.25,3.303,3.44,10.24,23.511,2.037,0.873,13.657,16.121,4.606,5.081,10.253
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,179,,,,1558,176,33.305,2.03,0.198,22.659,24.742,9.866,5.844,10.65,7.985,1.598,0.184,17.966,15.942,8.133,3.994,10.896,2.302,1.349,0.464,16.029,15.529,7.47,3.034,10.224,20.228,1.77,0.26,20.019,20.58,8.904,4.755,10.599
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,180,,,,1591,176,24.798,2.313,0.415,10.743,21.713,9.233,3.422,8.983,9.066,2.049,0.363,9.103,20.229,9.437,3.027,12.021,4.012,2.207,0.265,9.274,19.079,9.73,2.694,11.229,17.142,2.239,0.372,10.101,20.841,9.384,3.184,10.066
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,183,,,,1609,182,6.889,3.097,0.029,11.124,37.639,10.156,2.073,14.255,2.53,4.059,0.047,9.72,27.561,9.699,1.826,14.351,0.887,4.017,0.005,10.316,26.043,9.747,1.928,13.878,4.483,3.528,0.027,10.627,32.64,9.958,1.985,14.182
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,186,,,,1464,190,28.646,1.082,0.73,7.361,7.325,5.732,3.753,6.45,8.411,0.696,0.428,7.796,7.382,4.69,2.914,9.266,3.032,0.535,0.839,7.68,6.254,4.268,2.581,7.749,18.737,0.88,0.691,7.523,7.1,5.19,3.318,7.328
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,189,,,,1491,189,18.093,7.199,0.131,9.397,18.224,6.657,3.721,13.542,3.681,6.746,0,5.28,13.36,6.157,3.296,16.368,2.871,5.62,0.189,7.489,15.089,6.772,2.781,13.914,11.916,6.736,0.123,8.229,16.629,6.6,3.419,14.114
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,190,,,,1622,193,18.106,5.528,0.023,14.034,57.557,10.005,3.411,16.633,4.358,5.414,0,12.333,42.323,10.669,2.074,17.434,1.252,5.884,0,11.505,37.937,9.655,2.143,16.368,11.225,5.588,0.013,13.078,49.709,10.063,2.83,16.74
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,193,,,,1379,194,32.127,1.87,0.774,11.822,16.435,4.732,5.291,12.621,8.39,1.298,0.49,7.887,14.355,3.931,4.377,18.36,2.248,0.98,1.235,6.533,12.445,3.812,3.856,15.447,19.295,1.518,0.829,9.609,14.96,4.322,4.724,14.6
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,196,,,,1503,198,26.535,3.052,0.522,7.631,18.296,9.037,3.924,9.127,9.365,3.081,0.475,7.375,20.887,8.338,3.214,11.489,4.036,3.111,0.451,7.068,21.425,8.291,3.301,14.469,17.554,3.073,0.495,7.437,19.581,8.717,3.634,10.96
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,202,,,,1480,203,16.115,7.082,0.018,13.571,66.145,9.477,4.053,22.638,4.746,6.834,0.029,6.942,19.308,7.717,3.232,15.513,3.114,5.87,0.021,6.756,21.878,8.18,2.943,15.209,11.25,6.761,0.02,10.911,48.252,8.89,3.662,19.755
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,206,,,,1580,205,33.358,2.719,0.101,8.498,39.203,10.725,3.572,9.26,11.14,1.785,0.063,6.076,30.882,8.37,2.477,10.015,3.72,1.293,0.061,5.034,22.056,7.041,1.995,10.111,21.95,2.197,0.084,7.2,33.521,9.389,2.983,9.611
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,211,,,,1498,209,33.426,2.913,0.292,9.901,23.43,10.756,3.094,9.042,14.488,2.506,0.247,6.92,26.592,9.302,2.548,14.56,6.866,2.912,0.29,6.981,26.594,9.295,2.499,14.502,23.508,2.843,0.284,8.655,24.768,10.139,2.851,11.362
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,213,,,,1452,213,8.738,1.615,0.232,11.619,20.675,6.766,3.663,10.513,2.009,1.453,0.531,9.549,12.77,5.381,2.733,10.237,0.436,1.272,0.297,8.197,9.483,4.528,2.237,8.758,5.198,1.494,0.314,10.316,16.161,5.907,3.105,10.019
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,225,,,,1412,225,34.705,2.093,0.424,12.519,30.702,5.851,4.454,11.849,10.126,1.743,0.585,10.244,18.156,4.802,3.84,11.887,4.752,1.425,0.818,9.59,13.332,4.631,3.367,11.525,22.101,1.854,0.555,11.314,23.755,5.327,4.056,11.777
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,233,,,,1342,230,10.99,2.661,0.055,9.235,27.436,9.178,2.232,17.591,4.778,1.987,0.132,7.591,20.033,6.392,2.068,14.709,3.153,2.351,0.025,6.794,18.826,7.6,1.844,16.012,7.928,2.476,0.059,8.325,23.986,8.333,2.102,16.732
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,236,,,,1349,236,10.595,1.761,0.136,8.7,27.352,9.089,2.556,17.59,3.402,1.253,0.485,7.474,18.62,8.542,2.378,17.333,2.299,1.46,0.602,6.057,14.225,7.894,2.141,14.473,7.171,1.587,0.317,7.826,22.474,8.695,2.422,16.802
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,239,,,,1427,234,16.201,2.028,0.919,13.972,18.119,4.895,3.657,10.432,4.936,1.24,0.62,10.155,12.452,3.989,2.655,9.243,1.962,1.015,0.447,9.768,9.124,3.621,2.277,9.004,10.014,1.591,0.731,12.035,14.539,4.365,3.078,9.798
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,240,,,,1303,232,14.006,1.969,0.263,17.572,17.365,5.209,5.647,19.31,3.631,0.855,0.388,9.838,7.095,4.264,3.522,13.295,1.334,0.795,0.73,7.16,6.37,3.625,2.829,10.353,9.221,1.496,0.389,13.795,12.965,4.68,4.619,16.186
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,244,,,,1417,248,19.806,1.412,0.266,11.786,14.945,6.281,3.987,9.41,7.34,1.184,0.529,11.497,9.685,4.443,3.788,10.83,2.17,1.266,0.554,12.296,8.245,4.424,3.547,10.382,12.679,1.326,0.395,11.85,12.123,5.416,3.834,9.963
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,248,,,,1445,254,12.943,2.097,0.1,10.453,34.462,11.024,3.724,14.941,3.915,1.856,0.102,8.409,13.05,9.673,2.702,11.563,1.314,1.52,0.186,7.714,8.967,8.68,2.306,11.248,8.492,1.918,0.12,9.421,24.372,10.223,3.197,13.423
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,250,,,,1329,256,7.353,1.825,0.28,8.501,22.435,7.881,1.56,16.574,4.488,1.3,0.542,5.316,9.421,5.802,1.513,12.683,4.825,0.995,0.367,4.828,7.203,5.599,1.602,11.445,6.152,1.523,0.358,6.973,16.143,6.909,1.559,14.564
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,253,,,,1497,261,8.147,3.238,0.099,12.738,30.209,9.962,2.104,14.635,2.626,3.034,0.153,9.824,23.617,9.857,1.622,14.252,0.888,3.12,0.146,8.44,21.481,9.233,1.587,13.448,5.013,3.162,0.123,10.962,26.451,9.748,1.861,14.239
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,256,,,,1398,266,23.765,2.112,0.402,10.045,26.139,7.378,4.205,11.847,6.905,1.455,0.379,9.499,15.196,7.228,3.624,13.083,3.212,1.188,0.516,9.816,9.52,6.095,3.283,10.96,15.292,1.752,0.425,9.876,19.847,7.037,3.862,11.89
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,257,,,,1302,263,15.842,1.74,7.301,10.269,20.566,5.64,4.195,15.332,5.036,1.199,4.579,9.754,13.907,4.869,3.623,17.698,3.576,1.147,8.638,9.128,11.117,4.068,3.484,14.963,10.936,1.5,7.058,9.89,17.148,5.138,3.923,15.73
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,259,,,,1320,268,35.02,0.478,16.38,8.8,6.604,3.17,5.772,16.058,10.425,0.82,10.451,11.317,5.719,2.901,4.81,13.411,3.909,0.666,9.489,12.456,5.224,3.197,4.064,13.935,22.352,0.59,13.485,10.219,6.08,3.128,5.149,15.015
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,261,,,,1541,273,27.031,3.61,0.022,13.12,59.48,14.721,3.984,18.037,12.102,3.203,0,13.193,54.162,15.601,3.281,19.609,6.082,3.002,0.053,12.57,43.269,15.377,2.845,18.902,18.523,3.369,0.025,12.999,54.277,15.079,3.546,18.6
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,262,,,,1261,277,29.823,2.04,1.185,8.924,9.659,7.101,6.477,13.728,11.481,1.376,0.923,8.751,11.374,6.099,5.393,15.11,6.463,0.894,0.933,7.208,12.952,5.764,4.599,16.385,20.545,1.629,1.073,8.465,10.802,6.579,5.805,14.65
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,264,,,,1377,279,27.819,1.915,1.241,16.967,38.944,5.21,4.799,20.473,9.261,1.405,0.846,19.056,21.055,5.647,3.88,17.568,3.78,0.98,0.74,20.824,14.24,5.338,3.562,17.433,18.872,1.607,1.053,18.233,29.976,5.322,4.346,19.235
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,265,,,,1619,281,25.045,1.292,1.879,11.384,11.469,6.042,5.226,8.198,8.289,0.795,0.845,9.719,7.071,4.808,3.682,10.331,3.184,0.646,0.755,7.459,6.532,4.358,2.895,8.517,16.271,1.032,1.391,10.092,9.358,5.378,4.342,8.725
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,266,,,,1314,284,40.413,1.111,1.626,6.096,6.91,3.707,3.417,10.176,13.56,0.976,0.812,5.064,6.603,3.212,2.787,10.446,6.704,0.831,1.229,4.093,7.118,3.013,2.783,11.169,26.194,1.012,1.35,5.374,6.895,3.427,3.122,10.481
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,267,,,,1531,284,23.235,6.773,0.147,13.004,39.744,10.611,4.951,17.272,7.693,6.956,0.177,10.875,31.974,11.402,4.352,19.73,4.061,6.411,0.188,11.001,33.497,11.214,3.961,19.921,15.633,6.718,0.163,12.116,36.764,10.906,4.596,18.38
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,269,,,,1354,286,34.487,2.057,0.021,35.391,59.414,12.935,6.66,31.758,12.406,1.387,0.019,28.104,38.338,11.216,4.472,27.404,4.682,1.068,0.185,25.636,27.99,9.727,3.905,23.804,22.037,1.658,0.062,31.303,46.771,11.739,5.477,28.772
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,272,,,,1081,305,45.649,3.454,0.184,14.042,51.59,6.947,8.503,18.94,12.457,1.925,0.17,14.754,25.893,5.998,5.926,17.791,3.464,1.767,0.11,16.505,17.544,5.467,5.282,14.508,29.215,2.757,0.164,14.761,38.541,6.412,7.24,17.672
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,273,,,,1114,305,22.029,0.921,0.007,13.405,68.824,13.659,4.38,23.39,9.377,1.085,0,10.917,31.057,12.001,3.92,18.218,3.604,1.066,0.002,9.735,16.749,9.788,3.558,14.734,14.915,0.99,0.004,11.995,48.299,12.373,4.085,20.208
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,274,,,,1489,306,36.482,2.15,0.374,14.232,28.431,8.381,4.346,11.904,15.945,2.17,0.613,11.684,15.965,6.041,3.511,7.93,12.174,1.716,0.515,12.232,19.373,6.459,3.862,11.91,27.347,2.044,0.445,13.354,24.32,7.554,4.102,11.322
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,275,,,,1456,306,20.243,2.716,1.431,15.732,38.499,6.009,4.403,14.612,6.294,2.007,3.287,13.56,15.344,4.492,3.684,11.917,2.357,1.454,3.361,11.688,10.478,3.872,3.445,11.47,13.246,2.282,2.262,14.363,27.255,5.206,4.034,13.329
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,276,,,,1337,311,7.892,2.491,0.055,9.222,36.211,10.256,1.561,22.161,1.575,1.655,0.189,6.65,16.612,7.818,1.513,14.907,0.457,1.331,0.307,5.763,12.957,6.944,1.285,12.663,4.676,2.021,0.147,7.804,26.187,8.903,1.481,18.227
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,277,,,,1318,315,9.696,2.576,0.034,9.472,32.464,12.016,1.375,19.655,2.928,1.728,0.011,7.35,24.308,10.391,1.277,18.316,1.554,1.749,0.064,7.037,19.816,10.625,1.232,16.88,6.432,2.212,0.037,8.477,27.859,11.366,1.322,18.733
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,278,,,,1095,312,12.422,1.55,0.187,9.854,18.514,7.514,4.279,13.126,3.779,1.502,0.19,8.49,14.715,6.321,3.678,12.809,0.899,1.528,0.167,8.641,11.768,5.67,3.499,11.617,8.039,1.535,0.183,9.302,16.199,6.851,3.979,12.714
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,279,,,,1160,318,21.889,1.406,1.383,5.467,5.335,3.854,2.834,9.276,6.231,1.382,0.766,4.238,5.008,4.268,2.338,10.033,3.133,1.32,0.803,4.514,4.814,4.86,2.124,11.069,14.333,1.381,1.122,4.993,5.147,4.171,2.568,9.845
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,280,,,,1259,318,45.43,1.66,0.791,8.299,34.507,3.861,5.096,15.439,18.863,1.454,0.443,7.994,26.554,3.966,4.57,14.352,8.561,1.074,1.014,7.177,21.884,4.155,4.305,15.963,30.304,1.466,0.772,7.948,29.577,3.958,4.781,15.336
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,281,,,,1353,321,29.963,1.481,1.189,13.287,16.557,6.961,6.283,17.253,8.533,1.537,0.77,12.698,12.536,6.782,5.112,16.387,3.374,1.404,0.659,11.165,10.736,6.34,4.335,15.07,18.906,1.474,0.97,12.642,14.278,6.771,5.558,16.535
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,282,,,,1449,321,17.848,2.538,0.991,8.555,20.323,6.008,5.177,12.311,6.452,1.835,1.602,7.623,12.677,4.667,4.263,9.719,4.732,1.754,1.934,8.553,9.789,4.228,3.942,9.796,12.138,2.193,1.36,8.368,16.039,5.274,4.671,11.135
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,283,,,,1068,324,31.622,2.309,0.396,12.577,40.871,5.921,6.317,16.76,13.261,2.144,0.401,13.91,26.432,5.65,4.861,13.566,6.066,1.672,0.474,13.427,18.859,5.376,4.249,13.703,21.191,2.111,0.417,13.078,32.179,5.724,5.479,15.3
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,284,,,,1547,323,23.948,2.201,0.276,12.177,30.811,9.947,4.578,13.507,8.097,1.769,0.292,8.293,20.778,9.797,3.13,13.033,3.717,1.783,0.284,7.698,15.446,9.606,2.593,13.137,16.532,2.028,0.281,10.463,25.565,9.845,3.871,13.336
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,285,,,,1321,330,20.711,1.052,0.812,8.311,11.56,5.438,3.108,12.082,6.454,0.952,0.979,6.433,9.145,4.801,2.773,12.992,3.019,1.268,0.936,6.907,10.443,5.839,2.62,13.109,13.772,1.085,0.873,7.62,10.838,5.415,2.927,12.5
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,286,,,,1125,332,36.029,1.452,1.586,8.007,17.408,3.783,4.771,11.276,7.445,0.774,0.725,5.808,12.48,3.421,3.741,11.87,2.006,0.795,0.571,4.814,9.883,3.264,3.381,9.432,21.287,1.141,1.144,6.726,14.443,3.574,4.198,10.931
