Path,Sample Name,Tissue Category,Cell ID,Total Cells,Tissue Category Area (pixels),Cell Density (per megapixel),Cell X Position,Cell Y Position,"Nucleus DAPI Mean (Normalized Counts, Total Weighting)","Nucleus MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Nucleus CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Nucleus BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Nucleus STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Nucleus BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)","Cytoplasm DAPI Mean (Normalized Counts, Total Weighting)","Cytoplasm MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Cytoplasm STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Cytoplasm Autofluorescence Mean (Normalized Counts, Total Weighting)","Membrane DAPI Mean (Normalized Counts, Total Weighting)","Membrane MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Membrane CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Membrane CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Membrane BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Membrane STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Membrane BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Membrane Autofluorescence Mean (Normalized Counts, Total Weighting)","Entire Cell DAPI Mean (Normalized Counts, Total Weighting)","Entire Cell MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Entire Cell CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Entire Cell CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Entire Cell STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Entire Cell Autofluorescence Mean (Normalized Counts, Total Weighting)"
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,996,,,,1053,1660,44.631,3.819,4.749,20.387,41.587,7.146,6.053,20.759,11.243,3.969,4.882,24.517,50.352,6.786,4.877,25.8,4.264,3.96,4.526,27.064,47.77,6.638,4.177,20.792,27.793,3.885,4.723,22.876,44.943,6.947,5.35,21.839
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,997,,,,1553,1661,37.618,1.023,23.288,4.364,10.277,3.73,3.871,13.98,9.198,1.632,19.377,4.876,12.624,3.476,3.655,12.24,5.288,1.723,25.302,7.511,17.168,3.962,3.748,15.396,24.398,1.308,23.076,5.24,12.418,3.741,3.801,14.015
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,998,,,,927,1662,22.347,2.648,0.938,26.437,73.783,14.443,4.768,27.879,3.486,3.642,2.039,22.136,27.562,8.093,5.408,16.887,0.749,3.261,2.303,20.017,17.324,6.757,4.651,12.761,13.81,2.982,1.459,24.159,52.08,11.477,4.869,22.343
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,999,,,,1141,1664,16.814,2.445,2.555,15.381,33.121,5.426,4.864,16.92,5.984,2.607,2.48,19.644,25.68,4.933,5.376,13.534,2.431,2.689,2.021,21.589,17.709,4.673,4.6,14.171,11.537,2.531,2.418,17.583,28.224,5.163,4.896,15.672
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1000,,,,2047,1661,19.934,4.943,1.108,20.143,39.992,12.912,4.08,20.015,5.798,4.571,0.672,16.285,38.91,11.952,3.35,18.842,3.165,4.112,0.42,20.731,41.522,13.407,2.74,20.112,13.87,4.698,0.883,19.62,40.144,12.859,3.663,19.838
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1001,,,,1215,1664,45.384,1.275,21.292,7.782,9.479,4.897,3.561,14.535,10.26,1.786,17.558,8.494,12.793,5.553,3.924,18.997,4.718,2.37,20.757,11.327,13.275,6.339,3.605,14.034,28.285,1.65,20.421,8.809,11.082,5.387,3.644,15.29
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1004,,,,2098,1669,13.17,1.662,1.925,37.065,38.404,11.568,4.727,21.597,4.314,1.348,2.234,33.082,28.596,10.663,2.855,17.934,2.285,1.544,1.24,24.931,22.767,7.589,2.741,13.232,8.551,1.565,1.82,33.178,32.393,10.379,3.829,18.721
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1005,,,,1449,1667,28.217,2.112,3.782,12.272,17.574,3.989,3.382,12.6,11.42,1.774,3.075,13.029,17.302,3.473,3.266,13.509,5.454,1.686,3.216,11.307,14.255,3.758,2.864,12.575,19.764,1.949,3.516,12.201,16.768,3.836,3.242,12.772
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1006,,,,890,1671,29.862,3.49,2.2,22.541,66.331,11.07,7.894,25.781,7.522,3.353,2.272,21.668,34.925,8.084,7.205,17.036,1.416,3.356,2.313,21.121,23.998,7.023,6.297,13.634,19.318,3.434,2.239,22.062,51,9.607,7.413,21.434
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1007,,,,995,1673,14.17,0.498,0.135,89.634,31.712,18.636,0.452,32.235,4.346,0.563,0.483,88.127,27.814,17.619,0.285,27.961,1.537,0.996,1.133,73.314,24.921,15.343,0.538,24.272,9.305,0.625,0.433,85.609,29.376,17.68,0.438,29.556
